,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,DIFF,DEA,MACD,MACDX,MACDXPre,kdj_k,kdj_d,kdj_j,kdX,kdXPre,ema5,ema10,ema20,ema60,ROC-1,ROC+1,ROC-2,ROC+2,ROC-3,ROC+3,ROC-5,ROC+5,mavol5,mavol10
54,000002.SZ,20190121,25.71,25.95,25.4,25.65,25.76,-0.11000000000000298,-0.4270186335403842,255499.85,655820.643,0.15721791383488437,0.04966951164008569,0.21509680438959736,0,0,74.70264144928525,69.36260203158061,85.38272028469456,0,0,25.44131033919238,25.250047471629372,25.089129963045615,24.72760724809591,-0.4270186335403842,-0.9746588693957117,2.723267921505806,-1.3255360623781671,0.9047993705743387,-0.935672514619877,2.5179856115107877,1.5984405458089674,300668.78000000014,270649.19799999986
53,000002.SZ,20190122,25.5,26.17,25.23,25.4,25.65,-0.25,-0.9746588693957117,379336.8,974822.713,0.16163761758292594,0.07206313282865376,0.17914896950854436,0,0,69.26122042564958,69.32880816293694,69.12604495107487,-1,0,25.427540226128254,25.277311567696756,25.118736633231926,24.74965696834221,-0.9746588693957117,-0.3543307086614168,-1.397515527950322,0.03937007874016364,1.7220664797757297,2.755905511811035,0.9538950715421243,5.826771653543309,302784.3700000001,287144.67599999986
52,000002.SZ,20190123,25.35,25.49,25.2,25.31,25.4,-0.08999999999999986,-0.3543307086614168,146847.03,371890.084,0.1560788371421502,0.08886627369135305,0.1344251269015943,0,0,64.01198478827085,67.55653370471491,56.92288695538272,0,0,25.388360150752167,25.28325491902462,25.136952191971844,24.768032140473004,-0.3543307086614168,0.39510075069143197,-1.3255360623781671,3.1212959304622787,-1.7468944099378991,2.9632556301856976,-0.4327301337529622,7.506914263137109,278660.56400000013,267815.3169999998
51,000002.SZ,20190124,25.42,25.54,24.93,25.41,25.31,0.10000000000000142,0.39510075069143197,234931.05,592822.911,0.1579221990360402,0.1026774587602905,0.11048948055149943,0,0,62.31429616515353,65.80912119152778,55.32464611240502,0,0,25.39557343383478,25.30629947920196,25.162956745117512,24.789083889896265,0.39510075069143197,2.7154663518299933,0.03937007874016364,2.5580480125934617,-0.935672514619877,5.785123966942144,1.7621145374449392,9.208972845336481,276467.60200000013,268843.50199999975
50,000002.SZ,20190125,25.51,26.35,25.49,26.1,25.41,0.6900000000000013,2.7154663518299933,451756.17,1176479.676,0.21260948020578851,0.12466386304939012,0.1758912343127968,0,0,70.77110713144883,67.46311650483479,77.3870883846769,1,0,25.63038228922319,25.450608664801607,25.252198959868632,24.832071901390623,2.7154663518299933,-0.15325670498085323,3.1212959304622787,2.9885057471264274,2.755905511811035,4.2528735632183885,1.3198757763975149,6.053639846743288,293674.1800000001,289949.6289999998
49,000002.SZ,20190128,26.2,26.62,25.86,26.06,26.1,-0.0400000000000027,-0.15325670498085323,308906.56,810288.818,0.24984185741984533,0.1496994619234812,0.20028479099272828,0,0,70.08576602059343,68.33733301008766,73.58263204160494,0,0,25.773588192815456,25.56140708938313,25.32913239226241,24.872338321710775,-0.15325670498085323,3.1465848042977758,2.5580480125934617,4.412893323100545,2.9632556301856976,6.485034535686881,1.5984405458089674,6.1780506523407634,304355.5220000001,302512.1509999998
48,000002.SZ,20190129,25.91,26.88,25.87,26.88,26.06,0.8200000000000003,3.1465848042977758,368071.63,974279.357,0.3415784279873577,0.1880752551362565,0.3070063457022024,0,0,80.05717734706228,72.2439477890792,95.68363646302842,0,0,26.142392128543637,25.801151254949833,25.476834069190346,24.938173546348743,3.1465848042977758,1.2276785714285783,2.9885057471264274,3.236607142857147,5.785123966942144,2.976190476190479,5.826771653543309,1.9345238095238078,302102.4880000001,302443.42899999977
47,000002.SZ,20190130,26.7,27.82,26.63,27.21,26.88,0.33000000000000185,1.2276785714285783,592303.18,1615186.856,0.4358839641140797,0.2376369969318212,0.396493934364517,0,0,79.66902941937947,74.7189749991793,89.56913825977983,0,0,26.49826141902909,26.057305572231684,25.641897491172774,25.01267087964782,1.2276785714285783,1.984564498346193,4.412893323100545,1.727306137449463,4.2528735632183885,1.6905549430356517,7.506914263137109,2.0580668871738284,391193.7180000001,334927.14099999977
46,000002.SZ,20190131,27.39,28.15,27.0,27.75,27.21,0.5399999999999991,1.984564498346193,411857.6,1138512.393,0.5478796523137532,0.29968552800820764,0.4963882486110912,0,0,82.30523286343725,77.24772762059861,92.42024334911454,0,0,26.91550761268606,26.365068195462285,25.842669158680735,25.10243245116653,1.984564498346193,-0.2522522522522533,3.236607142857147,-0.2882882882882821,6.485034535686881,-1.2612612612612664,9.208972845336481,-1.1171171171171124,426579.0280000001,351523.3149999998
45,000002.SZ,20190201,28.15,28.22,26.98,27.68,27.75,-0.07000000000000028,-0.2522522522522533,518543.17,1415838.207,0.6237978735305347,0.3645079971126731,0.5185797528357232,0,0,82.73236395556405,79.07593973225376,90.04521240218466,0,0,27.170338408457372,26.604146705378234,26.017653048330665,25.18695477146931,-0.2522522522522533,-0.03612716763005062,1.727306137449463,-1.0115606936416226,2.976190476190479,0.3251445086705197,6.053639846743288,-4.082369942196528,439936.42800000013,366805.3039999998
